id,title,description,category,price
1,iPhone 13,هاتف ذكي من آبل بشاشة 6.1 بوصة,الإلكترونيات,999.99
2,سامسونج تلفزيون سمارت 55 بوصة,تلفزيون ذكي بدقة 4K ودعم HDR,الإلكترونيات,799.50
3,لوح شوكولاتة بالحليب,شوكولاتة بالحليب عالية الجودة 100 جرام,الأطعمة,2.99
4,كتاب البرمجة بلغة بايثون,دليل المبتدئين لتعلم البرمجة بلغة بايثون,الكتب,34.95
5,حقيبة ظهر رياضية,حقيبة ظهر متينة للرياضة والتنزه,الملابس والإكسسوارات,59.00
6,سماعة رأس لاسلكية,سماعة بتقنية البلوتوث مع إلغاء الضوضاء,الإلكترونيات,129.99
7,كرسي مكتبي,كرسي مكتبي مريح بدعم للظهر,الأثاث المنزلي,149.00
8,زيت زيتون بكر ممتاز,زيت زيتون عضوي معصور على البارد 500 مل,الأطعمة,15.75
9,كيبورد ميكانيكي للألعاب,لوحة مفاتيح للاعبين مع إضاءة RGB,الإلكترونيات,89.90
10,طقم أواني طبخ,مجموعة أواني طبخ من الستانلس ستيل 10 قطع,المطبخ,199.99
